permno,ticker,comnam,date,ret,prc,vol,shrout,cfacpr,sector,market_cap,year,month,year_month,vol_6m,mean_ret_6m,sharpe_6m,vol_12m,mean_ret_12m,sharpe_12m,var_95_6m,var_99_6m,cum_ret,running_max,drawdown,drawdown_pct,max_dd_12m,is_peak,peak_id,months_since_peak,drawdown_duration,risk_class,high_risk_alert
47896,JPM,J P MORGAN CHASE & CO,2024-10-31,0.05838,221.92,1783391.0,2815340.0,1.0,Financials,624780.2527999999,2024,10,2024-10,0.17276537996832556,0.331054,1.8004417323483906,0.18271087216394408,0.515606,2.712515101757597,4.6964749999999995,5.900175,2.516016819370925,2.534394224295113,-0.0072512021799999654,-0.7251202179999966,-6.201100000000009,False,21,2,2,Low,False
47896,JPM,J P MORGAN CHASE & CO,2024-11-29,0.12527,249.72,1888522.0,2815340.0,1.0,Financials,703046.7048,2024,11,2024-11,0.2209643724413506,0.46800200000000003,2.0274852232973024,0.18409264817551174,0.518483,2.707783308786738,4.6964749999999995,5.900175,2.831198246333521,2.831198246333521,0.0,0.0,-6.201100000000009,True,22,0,0,Medium,False
47896,JPM,JPMORGAN CHASE & CO,2024-12-31,-0.040085,239.71001,1812671.0,2815340.0,1.0,Financials,674865.1795534,2024,12,2024-12,0.2434136478112924,0.39148400000000005,1.5261428573963725,0.19378636778398295,0.38857200000000003,1.901950091818913,5.65295,6.091469999999999,2.7177096646292416,2.831198246333521,-0.040085000000000016,-4.0085000000000015,-6.201100000000009,False,22,1,1,Medium,False
10107,MSFT,MICROSOFT CORP,2018-01-31,0.110708,95.01,5744603.0,7699793.0,1.0,Technology,731557.33293,2018,1,2018-01,,,,,,,,,1.110708,1.110708,0.0,0.0,,True,1,0,0,Unknown,False
10107,MSFT,MICROSOFT CORP,2018-02-28,-0.008631,93.77,7257085.0,7699793.0,1.0,Technology,722009.58961,2018,2,2018-02,,,,,,,,,1.1011214792519999,1.110708,-0.008631000000000133,-0.8631000000000133,,False,1,1,1,Unknown,False
10107,MSFT,MICROSOFT CORP,2018-03-29,-0.026661,91.27,7507195.0,7690000.0,1.0,Technology,701866.3,2018,3,2018-03,0.2586005413064713,0.301664,1.0891856551305352,,,,2.4858000000000002,2.63004,1.0717644794936623,1.110708,-0.035061888909000166,-3.5061888909000167,,False,1,2,2,High,True
10107,MSFT,MICROSOFT CORP,2018-04-30,0.024652,93.52,6699236.0,7683198.0,1.0,Technology,718532.67696,2018,4,2018-04,0.2111481403564805,0.300204,1.3270493385683284,,,,2.39565,2.61201,1.0981856174421398,1.110708,-0.011274234594385023,-1.1274234594385024,,False,1,3,3,Medium,False
10107,MSFT,MICROSOFT CORP,2018-05-31,0.061377,98.84,5091267.0,7683198.0,1.0,Technology,759407.29032,2018,5,2018-05,0.19133889286289915,0.387468,1.9205086561429168,,,,2.3055,2.5939799999999997,1.1655889560838861,1.1655889560838861,0.0,0.0,,True,2,0,0,Medium,False
10107,MSFT,MICROSOFT CORP,2018-06-29,-0.002327,98.61,6018073.0,7677000.0,1.0,Technology,757028.97,2018,6,2018-06,0.17800278775794495,0.318236,1.6754569057960642,0.17800278775794495,0.318236,1.6754569057960642,2.21535,2.57595,1.1628766305830789,1.1655889560838861,-0.0023270000000000356,-0.23270000000000357,-3.5061888909000167,False,2,1,1,Low,False
10107,MSFT,MICROSOFT CORP,2018-07-31,0.075753,106.08,5679044.0,7668217.0,1.0,Technology,813444.45936,2018,7,2018-07,0.1414328150734475,0.24832600000000002,1.6143778222997827,0.17481262456699173,0.402636,2.1888350509454546,2.21535,2.57595,1.2509680239796388,1.2509680239796388,0.0,0.0,-3.5061888909000167,True,3,0,0,Low,False
